Marker 1.0,Marker 7.0,Time (s)
32.76923076923077,37.0,1.2273999999997547
17.46153846153846,49.0,1.227499999999755
-2.3846153846153846,94.0,1.2275999999997547
-2.4615384615384617,129.0,1.2276999999997544
4.769230769230769,104.0,1.2277999999997546
11.846153846153847,10.0,1.2278999999997549
31.615384615384617,-89.0,1.2279999999997546
35.61538461538461,-92.0,1.2280999999997544
15.846153846153847,-21.0,1.2281999999997546
-1.5384615384615385,-25.0,1.2282999999997548
-13.23076923076923,-127.0,1.2283999999997546
-31.46153846153846,-155.0,1.2284999999997543
-41.0,-49.0,1.2285999999997546
-40.30769230769231,-8.0,1.2286999999997548
-51.30769230769231,-109.0,1.2287999999997545
-60.23076923076923,-193.0,1.2288999999997543
-53.30769230769231,-196.0,1.2289999999997545
-34.61538461538461,-130.0,1.2290999999997547
-10.76923076923077,-8.0,1.2291999999997545
9.153846153846153,97.0,1.2292999999997543
22.692307692307693,169.0,1.2293999999997545
31.307692307692307,253.0,1.2294999999997547
29.153846153846153,379.0,1.2295999999997544
15.615384615384615,444.0,1.2296999999997542
-2.4615384615384617,348.0,1.2297999999997544
-8.461538461538462,113.0,1.2298999999997546
21.076923076923077,-144.0,1.2299999999997544
60.69230769230769,-279.0,1.2300999999997542
62.76923076923077,-298.0,1.2301999999997544
38.38461538461539,-281.0,1.2302999999997546
21.53846153846154,-237.0,1.2303999999997544
13.307692307692308,-164.0,1.2304999999997541
3.923076923076923,-74.0,1.2305999999997543
2.3846153846153846,20.0,1.2306999999997545
12.538461538461538,67.0,1.2307999999997543
20.153846153846153,43.0,1.230899999999754
29.76923076923077,53.0,1.2309999999997543
48.07692307692308,130.0,1.2310999999997545
57.23076923076923,154.0,1.2311999999997543
51.07692307692308,94.0,1.231299999999754
29.46153846153846,24.0,1.2313999999997542
-13.153846153846153,60.0,1.2314999999997545
-43.15384615384615,157.0,1.2315999999997542
-39.30769230769231,142.0,1.231699999999754
-41.46153846153846,45.0,1.2317999999997542
-61.53846153846154,-52.0,1.2318999999997544
-80.38461538461539,-141.0,1.2319999999997542
-79.0,-211.0,1.232099999999754
-38.84615384615385,-258.0,1.2321999999997542
17.53846153846154,-240.0,1.2322999999997544
48.30769230769231,-135.0,1.2323999999997541
30.46153846153846,-3.0,1.232499999999754
-16.076923076923077,70.0,1.2325999999997541
-48.15384615384615,33.0,1.2326999999997543
-49.92307692307692,-31.0,1.232799999999754
-33.30769230769231,-24.0,1.2328999999997539
-4.076923076923077,44.0,1.232999999999754
42.61538461538461,112.0,1.2330999999997543
77.15384615384616,152.0,1.233199999999754
67.23076923076923,157.0,1.2332999999997538
37.53846153846154,126.0,1.233399999999754
6.6923076923076925,118.0,1.2334999999997542
-23.307692307692307,134.0,1.233599999999754
-32.23076923076923,106.0,1.2336999999997538
-34.46153846153846,38.0,1.233799999999754
-47.15384615384615,-32.0,1.2338999999997542
-44.15384615384615,-89.0,1.233999999999754
-15.923076923076923,-115.0,1.2340999999997537
19.153846153846153,-122.0,1.234199999999754
35.0,-138.0,1.2342999999997541
25.615384615384617,-115.0,1.234399999999754
15.076923076923077,17.0,1.2344999999997537
17.46153846153846,197.0,1.234599999999754
20.23076923076923,242.0,1.234699999999754
4.615384615384615,130.0,1.2347999999997539
0.0,33.0,1.2348999999997536
26.76923076923077,46.0,1.2349999999997539
36.23076923076923,129.0,1.235099999999754
